Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code SHOPIFY Plus,Cost Per Item
A183-3M,Ghost 100% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,May/3/2020,,,A183-3M,0,shopify,1,continue,manual,700,700,TRUE,FALSE,A183-3M,http://files.motiontradingcorp.com/0_e617205c-089a-42a7-9c8f-6f462e3cf928.jpg,1,Ghost 100% het VPI T+,FALSE,Ghost 100% het VPI T+,Ghost 100% het VPI T+,,,,700
A183-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_d26c4db5-22bd-4c95-acde-445aa96c9b8e.jpg,2,,,,,,,,
A183-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_4bca424d-21f3-4d64-94a4-530ad19b0168.jpg,3,,,,,,,,
A187-12F,IMG 66% het Sharp Albino 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/30/2020,,,A187-12F,0,shopify,1,continue,manual,850,850,TRUE,FALSE,A187-12F,http://files.motiontradingcorp.com/0_3ee632d4-1877-4118-8049-fe7a7b7c3cce.jpg,1,IMG 66% het Sharp Albino 50% het Anery,FALSE,IMG 66% het Sharp Albino 50% het Anery,IMG 66% het Sharp Albino 50% het Anery,,,,850
A187-12F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_dcc22ea4-1930-49a3-b67a-8f228b507224.jpg,2,,,,,,,,
A187-12F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_fe45db0a-97a5-4c25-91d8-201a3df6f508.jpg,3,,,,,,,,
A187-12F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_2d989929-927d-4a62-8577-a6d06fc0f741.jpg,4,,,,,,,,
A187-12F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_4efe2d15-4ee0-4161-83d1-efaeee5bfe4e.jpg,5,,,,,,,,
A184-15F,IMG 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/12/2020,,,A184-15F,0,shopify,1,continue,manual,850,850,TRUE,FALSE,A184-15F,http://files.motiontradingcorp.com/0_8c1b2d87-019a-499e-bfef-da684d09c750.jpg,1,IMG 66% het VPI T+,FALSE,IMG 66% het VPI T+,IMG 66% het VPI T+,,,,850
A184-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_fbc9c631-d4fc-4fa3-a831-cb1ae97af402.jpg,2,,,,,,,,
A184-15F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_66bbfc68-11d0-41fa-898c-330a45e21f66.jpg,3,,,,,,,,
A195-12M,IMG 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Jul/17/2020,,,A195-12M,0,shopify,1,continue,manual,850,850,TRUE,FALSE,A195-12M,http://files.motiontradingcorp.com/0_2c34597b-d867-41e9-98f0-4880b1af481a.jpg,1,IMG 66% het VPI T+,FALSE,IMG 66% het VPI T+,IMG 66% het VPI T+,,,,850
A195-12M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_4ca83e25-793b-4d65-a345-b525f72ad35d.jpg,2,,,,,,,,
A195-12M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_495ac557-6c36-42b0-9424-e0a4d18bda90.jpg,3,,,,,,,,
A195-12M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_43833cba-0d6d-4987-b797-417b68b75247.jpg,4,,,,,,,,
A194-14M,IMG 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Jul/17/2020,,,A194-14M,0,shopify,1,continue,manual,850,850,TRUE,FALSE,A194-14M,http://files.motiontradingcorp.com/0_278ed6ea-9077-4148-956f-08d86ff4309d.jpg,1,IMG 66% het VPI T+,FALSE,IMG 66% het VPI T+,IMG 66% het VPI T+,,,,850
A194-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_ca9c46d1-fa4c-477f-a173-dffd1092f14c.jpg,2,,,,,,,,
A194-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_bd7bc674-e696-4f59-ae98-44e61c59f56b.jpg,3,,,,,,,,
A194-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_cd0550e1-b6ec-4977-ab62-586b86007c4e.jpg,4,,,,,,,,
A194-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/4_b77e6b8e-6b56-4049-a6ae-c08553e91679.jpg,5,,,,,,,,
A182-14M,IMG 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Apr/22/2020,,,A182-14M,0,shopify,1,continue,manual,850,850,TRUE,FALSE,A182-14M,http://files.motiontradingcorp.com/0_f1cb6a77-6b5b-4883-9cf3-c771ecc5eebe.jpg,1,IMG 66% het VPI T+,FALSE,IMG 66% het VPI T+,IMG 66% het VPI T+,,,,850
A182-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_845d15f9-94fa-4c9c-924b-a96a5e99327b.jpg,2,,,,,,,,
A182-14M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_28d6ba89-5fa9-4ff5-a8b7-a8bdcd752e9a.jpg,3,,,,,,,,
A187-9F,IMG Jungle 66% het sharp 50% Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/30/2020,,,A187-9F,0,shopify,1,continue,manual,1250,1250,TRUE,FALSE,A187-9F,http://files.motiontradingcorp.com/0_a249ec6d-525d-40d9-ad73-fe6c60805497.jpg,1,IMG Jungle 66% het sharp 50% Anery,FALSE,IMG Jungle 66% het sharp 50% Anery,IMG Jungle 66% het sharp 50% Anery,,,,1250
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_d919d18a-e27b-4ab8-8d70-7ff9ca4d33a6.jpg,2,,,,,,,,
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_5620d0a9-30e5-416a-8b66-8ad9cb1db68e.jpg,3,,,,,,,,
A187-9F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_ed06f666-470c-4229-b3cd-943b2d1e4fd5.jpg,4,,,,,,,,
A187-11F,IMG Jungle 66% het Sharp Albino 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,May/30/2020,,,A187-11F,0,shopify,1,continue,manual,1000,1000,TRUE,FALSE,A187-11F,http://files.motiontradingcorp.com/0_9bdeceaa-dba1-4987-adb7-94aae41f6f3b.jpg,1,IMG Jungle 66% het Sharp Albino 50% het Anery,FALSE,IMG Jungle 66% het Sharp Albino 50% het Anery,IMG Jungle 66% het Sharp Albino 50% het Anery,,,,1000
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_82721e17-e22b-40c3-86dc-a8cbdeedaeff.jpg,2,,,,,,,,
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_a3a1c5c0-9d0a-4a66-98ef-d184342dd191.jpg,3,,,,,,,,
A187-11F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_fb6f2c51-be3f-4010-80fc-33a1f749f9e6.jpg,4,,,,,,,,
A182-3M,IMG Jungle 66% het VPI T+,,Motion Reptiles,,,TRUE,Sex,Male,DOB,Apr/22/2020,,,A182-3M,0,shopify,1,continue,manual,1350,1350,TRUE,FALSE,A182-3M,http://files.motiontradingcorp.com/0_760a3999-bc16-4b43-a211-a7a52bc4ca98.jpg,1,IMG Jungle 66% het VPI T+,FALSE,IMG Jungle 66% het VPI T+,IMG Jungle 66% het VPI T+,,,,1350
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_4e3b6df0-cd3c-4913-8071-9c86296ecc1e.jpg,2,,,,,,,,
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/2_660baa36-fd45-4431-bac9-2ca99ff7f696.jpg,3,,,,,,,,
A182-3M,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/3_59a88c79-8177-4f48-89a7-6d5a56cf8bc4.jpg,4,,,,,,,,
A194-10F,IMG Motley 50% het Anery,,Motion Reptiles,,,TRUE,Sex,Female,DOB,Jul/10/2020,,,A194-10F,0,shopify,1,continue,manual,1250,1250,TRUE,FALSE,A194-10F,http://files.motiontradingcorp.com/0_603d5548-4df5-4439-ba9d-ac815745ac29.jpg,1,IMG Motley 50% het Anery,FALSE,IMG Motley 50% het Anery,IMG Motley 50% het Anery,,,,1250
A194-10F,,,,,,,,,,,,,,,,,,,,,,,,http://files.motiontradingcorp.com/1_3f58a8b2-7fa9-47dc-991b-22fe1ebb09bd.jpg,2,,,,,,,,
