Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
Apr 2021,F,baby/juvenile,Anery 100% Het Vpi T+,-,#A205-4F,562179,$1350
Apr 2021,M,baby/juvenile,Ghost 100% Het Vpi T+,-,#A205-1M,562168,$1200
2021,F,baby/juvenile,Hypo Scoria,-,#HSF1,567102,$4000
Mar 2021,F,baby/juvenile,Img Anery 100% Het Sharp Albino,-,#A200-3F,566009,$2750
Mar 2021,M,baby/juvenile,Img Anery Aztec 100% Het Sharp Albino,-,#A200-8M,562194,$4500
Mar 2021,F,baby/juvenile,Img Aztec Sharp Albino 66% Het Anery,-,#A200-1F,562201,$3750
Mar 2021,F,baby/juvenile,Img Aztec Sharp Snowglow,-,#A200-16F,570971,$6000
Mar 2021,M,baby/juvenile,Img Hypo 100% Het Sharp Albino 66% Het Anery,-,#A200-19M,570977,$1500
Apr 2021,M,baby/juvenile,Img Hypo 100% Het Vpi T+,-,#A204-11M,570978,$1850
May 2021,M,baby/juvenile,Img Hypo Jungle 100% Het Vpi T+,-,#A210-1M,570976,$2250
2021,M,baby/juvenile,Img Sharp Albino Jungle,-,#A209-1M,566546,$2250
Mar 2021,F,baby/juvenile,Img Sharp Sunglow 66% Het Anery,-,#A200-18F,567100,$2000
Apr 2021,M,baby/juvenile,Img Sharp Sunglow Jungle,-,#A209-3M,566544,$2750
May 2021,F,baby/juvenile,Img Vpi T+ 100% Het Anery,-,#A212-8F,570973,$6000
May 2021,F,baby/juvenile,Img Vpi T+ Sunglow 100% Het Anery,-,#A212-7F,570972,$6250
Apr 2021,F,baby/juvenile,Keywest Jungle 100% Het Vpi T,-,#A206-13F,562881,$865
Apr 2021,M,baby/juvenile,Keywest Jungle 100% Het Vpi T,-,#A206-5M,562882,$800
Apr 2021,M,baby/juvenile,Keywest Jungle 100% Het Vpi T,-,#A206-11M,562884,$800
Apr 2021,F,baby/juvenile,Keywest Jungle Vpi T,-,#A206-7F,567104,$1750
Apr 2021,F,baby/juvenile,Lipstick Sunglow Possible Jungle,-,#A207-5F,570975,$625
2021,F,baby/juvenile,Sharp Albino 66% Het Anery,-,#A200-7F,566548,$600
Apr 2021,F,baby/juvenile,Sharp Sunglow Jungle 66% Het Anery,-,#A209-2F,570974,$1000
Apr 2021,M,baby/juvenile,Vpi T+ 66% Het Anery,-,#A205-24M,562181,$700
Apr 2021,M,baby/juvenile,Vpi T+ Keywest,-,#A206-4M,562886,$1500
Mar 2021,M,baby/juvenile,Vpi T+ Possible Jungle 100% Het Anery,-,#A203-1M,567103,$1200
Apr 2021,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A205-9F,562176,$875
Apr 2021,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A2015-10F,567101,$875
Apr 2021,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A205-6F,562172,$875
Jul 2020,M,baby/juvenile,Keywest Motley 50% Het Anery,-,#A194-15M,562872,$600
Mar 2020,M,baby/juvenile,Lipstick Sunglow Jungle,-,#A181-4M,562866,$650
