Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
May 2019,M,baby/juvenile,Hypo Het Sterling,-,#A171-4M,225291,$400
Apr 2019,F,baby/juvenile,Hypo Jungle Het Albino,-,#A163-18F,205107,$325
Apr 2019,F,baby/juvenile,Hypo Jungle Het Albino (Lipstick Line),-,#A163-10F,205109,$350
May 2019,F,baby/juvenile,Hypo Jungle Het Kahl (Lipstick Line),-,#A172-8F,323351,$300
May 2019,F,baby/juvenile,Hypo Jungle Het Kahl (Lipstick Line),-,#A172-10F,249836,$425
May 2019,M,baby/juvenile,Hypo Sterling,-,#A171-3M,236295,$2500
May 2019,F,baby/juvenile,Img Hypo Jungle 66% Het Sharp 50% Het Anery,-,#A170-12F,224944,$1300
May 2019,M,baby/juvenile,Img Hypo Jungle 66% Het Sharp Albino 50% Het Anery,-,#A170-6Mhj,326668,$1600
Jun 2019,M,baby/juvenile,Img Keywest 50% Het Anery,-,#A174-4M,249855,$2000
2019,F,baby/juvenile,Img Keywest 50% Het Anery,-,-,338550,$1500
May 2019,M,baby/juvenile,Img Sharp Albino,-,#A160-40M,325618,$2200
May 2019,M,baby/juvenile,Img Sharp Albino Jungle 50% Het Sharp,-,#A170-2M,325619,$2600
May 2019,F,baby/juvenile,Img Sharp Sunglow 50% Het Anery,-,#A170-11F,324786,$3500
May 2019,F,baby/juvenile,Motley Het Vpi T,-,#A167-1F,338548,$365
May 2019,M,baby/juvenile,Sharp Sunglow,-,#A165-14M,325615,$400
May 2019,M,baby/juvenile,Sterling,-,#A171-5M,236291,$2000
May 2019,M,baby/juvenile,Vpi T+,-,#A169-15M,249806,$450
Apr 2019,M,baby/juvenile,Vpi T+ 66% Het Anery,-,#A164-20M,263836,$550
May 2019,M,baby/juvenile,Vpi T+ Albino,-,#A169-10M,326669,$450
May 2019,M,baby/juvenile,Vpi T+ Motley Sunglow,-,#AVPIM,328455,$900
May 2019,F,baby/juvenile,Vpi T+ Sunglow,-,#A167-12F,282224,$750
May 2019,M,baby/juvenile,Vpi T+ Sunglow,-,#A167-8MM,328452,$550
May 2019,F,baby/juvenile,Vpi T+ Sunglow,-,#A167-10M,328451,$700
May 2019,M,baby/juvenile,Vpi T+ Sunglow,-,#A167-13M,328454,$550
Apr 2019,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A164-16FF,327068,$700
Jul 2019,F,baby/juvenile,Vpi T+ Sunglow (Wp Line),-,#A179-1F,328453,$700
May 2018,M,baby/juvenile,Sterling,-,#A156-5M,137895,$3500
Apr 2018,M,baby/juvenile,Vpi T+ Jungle,-,#A151-12M,197937,$750
May 2018,F,baby/juvenile,Vpi T+ Jungle Red Panther Line,-,#A154-RPJF,327071,$1250
Jun 2018,F,baby/juvenile,Vpi T+ Sunglow,-,#AVPIT1,327692,$750
May 2018,F,baby/juvenile,Vpi T+ Sunglow Red Panther Line,-,#A154-3FF,327070,$900
May 2018,M,baby/juvenile,Vpi T+ Sunglow (Rp Line),-,#A154-8M,187950,$875
